filename,label,cheat_type,notes
clip_001.mp4,clean,,
clip_002.mp4,suspicious,snap,"obvious snap to head"
clip_003.mp4,suspicious,sticky,"tracks through wall"
clip_004.mp4,suspicious,aimbot,"full lock"
clip_005.mp4,clean,,
"fp20260918-182538sticky_aim_fr46963.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-183320sticky_aim_fr53893.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-183328sticky_aim_fr54014.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-184147sticky_aim_fr59794.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-184148sticky_aim_fr59798.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-184848unnatural_geometric_line_fr66060.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=UNNATURAL_GEOMETRIC_LINE"
"fp20260918-185148sticky_aim_fr68738.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-185206sticky_aim_fr69008.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-185222sticky_aim_fr69253.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-185223sticky_aim_fr69267.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-185848snap_to_target_fr75032.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=SNAP_TO_TARGET"
"fp20260918-190151sticky_aim_fr77780.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-190504sticky_aim_fr80640.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-191652sticky_aim_fr16252.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-191908sticky_aim_fr20326.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-192602snap_to_target_fr32726.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=SNAP_TO_TARGET"
"fp20260918-192931sticky_aim_fr39012.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-193250sticky_aim_fr44972.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-193251sticky_aim_fr45016.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-193256sticky_aim_fr45168.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-193301sticky_aim_fr45310.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-193522sticky_aim_fr49100.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-193647sticky_aim_fr51598.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194200sticky_aim_fr60558.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194207flick_snap_fr60748.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=FLICK_SNAP"
"fp20260918-194215sticky_aim_fr61002.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
"fp20260918-194501sticky_aim_fr65964.mp4","clean","","operator-confirmed clean false positive; source=capture_card; category=STICKY_AIM; sticky_on_real_shots_fp"
